Task_1,Task_2,Average_Euclidean_Distance,Average_Manhattan_Distance,Average_Euclidean_Distance_after_Scaling,Average_Manhattan_Distance_after_Scaling
0,1,3.174153960971414,7.508242644762911,0.46499982075532537,0.9090257615326807
0,2,3.216704354766044,7.612575224448595,0.4367222263564416,0.8739751361663581
0,3,3.0747894805800646,7.185375957443828,0.38275659344362484,0.7538983270601551
0,4,3.1025978775008314,7.183782887549738,0.3986812234831095,0.7842644139251757
0,5,3.0929051009940447,7.254759151676084,0.40801815334365304,0.80959698350621
0,6,3.1042428568657443,7.325674731549771,0.41383839428047786,0.8195958506698549
0,7,2.929493132340077,6.801501672871241,0.40460199663284063,0.7942877993679209
0,8,3.195539327257429,7.4276488962485265,0.4064100027246537,0.8022369847805649
0,9,3.016282833541277,7.064581063354935,0.38116872620836395,0.76179006042057
0,10,3.079300482180491,7.178172085483376,0.4263780069750884,0.836482771555409
0,11,3.190540159341166,7.582286853822119,0.4721850871461801,0.9453826546323438
0,12,3.0177350702522228,7.087630619606679,0.4293248637710633,0.8234104225356493
0,13,3.053566619793855,7.229343104145412,0.40632986140044625,0.8159778053065377
0,14,3.1479247931445635,7.28542106072439,0.3948339011987213,0.7952136999083614
0,15,2.824434497866413,6.503337353303496,0.4630986035706845,0.9255476361352649
0,16,2.905005758740919,6.877397551067824,0.46883781901056043,0.9585251935757667
0,17,3.0323989091794554,7.113546157483566,0.4389529148721243,0.889662819463047
0,18,3.0541920742522475,7.191402268446575,0.4879248557440216,1.0183759347013837
0,19,3.0279371059283213,7.080101529506854,0.46638037846280944,0.9429363057974607
0,20,2.932257152980047,7.016157179685019,0.46146202155491084,0.9734135930161982
0,21,2.733529252110475,6.321700384153226,0.48579314726828,0.9780115300575565
0,22,2.8349333557699032,6.566553830739202,0.41191848319200963,0.8332173492447794
0,23,2.9718075618420716,7.015975235377863,0.48442086244100213,1.0248232055475162
0,24,2.7795817129397333,6.421982192612752,0.446707822555989,0.8916166260905674
0,25,2.9477061057802945,6.902676198407273,0.49556450220812354,1.0738422256302518
0,26,2.910320771504617,6.7975357935859355,0.46090291088187046,0.9673215387996518
0,27,2.798029130240536,6.396596998747372,0.4347352865536491,0.8768494154261973
0,28,2.9133655919877874,6.9248379434168745,0.5026107116501645,1.1049199478517986
1,2,3.252165623501093,7.819051993346771,0.46183486304478755,0.928031673733736
1,3,3.1148012096254267,7.4264473651509455,0.4529005730254844,0.8805743909829474
1,4,3.1461993439464018,7.4303813487017525,0.453752031443925,0.8895060822122312
1,5,3.1339344585149513,7.494876786610653,0.4584920722287572,0.9050610482304745
1,6,3.1395818060543466,7.540595349293196,0.4603087855317425,0.9081785797626838
1,7,2.974295337909583,7.05371468576723,0.44761900517860104,0.879337399778096
1,8,3.2318709321800125,7.652963317486879,0.46991576401337987,0.9178946116305823
