Year,School,FSM,VR_Band,Gender,VR_BAND_Student,Ethnicity,School_Gender,School_Denomination,ExamScore
1,1,24,18,0,3,1,1,1,17
1,1,24,18,0,3,1,1,1,5
1,1,24,18,0,3,1,1,1,16
1,1,24,18,0,3,1,1,1,12
1,1,24,18,0,3,1,1,1,7
1,1,24,18,1,3,1,1,1,20
1,1,24,18,1,3,1,1,1,15
1,1,24,18,1,1,1,1,1,16
1,1,24,18,1,3,1,1,1,26
1,1,24,18,1,3,1,1,1,5
1,1,24,18,0,3,1,1,1,18
1,1,24,18,1,2,1,1,1,24
1,1,24,18,1,3,1,1,1,9
1,1,24,18,1,1,1,1,1,15
1,1,24,18,1,2,1,1,1,31
1,1,24,18,0,3,5,1,1,7
1,1,24,18,1,3,1,1,1,11
1,1,24,18,1,2,1,1,1,29
1,1,24,18,0,3,1,1,1,22
1,1,24,18,1,2,1,1,1,28
1,1,24,18,0,2,1,1,1,27
1,1,24,18,0,3,1,1,1,5
1,1,24,18,0,3,1,1,1,17
1,1,24,18,0,3,1,1,1,15
1,1,24,18,0,3,1,1,1,5
1,1,24,18,1,3,10,1,1,18
1,1,24,18,1,3,1,1,1,21
1,1,24,18,1,2,1,1,1,22
1,1,24,18,0,1,1,1,1,6
1,1,24,18,1,1,1,1,1,8
1,1,24,18,0,1,1,1,1,9
1,1,24,18,1,3,1,1,1,22
1,1,24,18,1,3,1,1,1,10
1,1,24,18,1,1,1,1,1,17
1,1,24,18,0,3,1,1,1,19
1,1,24,18,1,3,2,1,1,30
1,1,24,18,0,2,9,1,1,27
1,1,24,18,1,3,1,1,1,2
1,1,24,18,0,3,1,1,1,2
1,1,24,18,0,2,1,1,1,26
1,1,24,18,1,3,1,1,1,22
1,1,24,18,0,1,1,1,1,4
1,1,24,18,1,3,1,1,1,11
1,1,24,18,0,2,1,1,1,5
1,1,24,18,1,3,1,1,1,14
1,1,24,18,1,3,1,1,1,8
1,1,24,18,0,2,1,1,1,30
1,1,24,18,1,3,1,1,1,18
1,1,24,18,0,1,5,1,1,7
1,1,24,18,0,3,1,1,1,10
1,1,24,18,1,1,5,1,1,12
1,1,24,18,0,3,1,1,1,16
1,1,24,18,1,2,1,1,1,17
1,1,24,18,0,2,1,1,1,17
1,1,24,18,1,3,1,1,1,24
1,1,24,18,0,1,9,1,1,39
1,1,24,18,0,2,1,1,1,22
1,1,24,18,0,1,9,1,1,3
1,1,24,18,0,3,1,1,1,16
1,1,24,18,1,3,1,1,1,19
1,1,24,18,0,2,1,1,1,16
1,1,24,18,0,3,1,1,1,5
1,1,24,18,1,3,3,1,1,16
1,1,24,18,0,2,1,1,1,18
1,1,24,18,1,3,1,1,1,31
1,1,24,18,0,3,1,1,1,23
1,1,24,18,1,3,1,1,1,18
1,1,24,18,1,2,1,1,1,30
1,1,24,18,0,2,7,1,1,50
1,1,24,18,1,1,1,1,1,4
1,1,24,18,1,3,1,1,1,25
1,1,24,18,1,3,1,1,1,13
1,1,24,18,0,3,1,1,1,32
1,1,24,18,1,2,1,1,1,26
1,1,24,18,1,3,1,1,1,8
1,1,24,18,1,2,1,1,1,18
1,1,24,18,0,2,1,1,1,23
1,1,24,18,0,3,11,1,1,22
1,1,24,18,0,1,1,1,1,12
1,1,24,18,1,3,1,1,1,3
2,1,43,17,1,1,11,1,1,1
2,1,43,17,0,2,1,1,1,27
2,1,43,17,0,3,7,1,1,19
2,1,43,17,0,3,1,1,1,24
2,1,43,17,0,1,1,1,1,14
2,1,43,17,0,1,1,1,1,5
2,1,43,17,1,1,5,1,1,5
2,1,43,17,1,3,1,1,1,7
2,1,43,17,0,2,1,1,1,23
2,1,43,17,0,2,1,1,1,26
2,1,43,17,1,3,1,1,1,2
2,1,43,17,1,3,5,1,1,17
2,1,43,17,0,3,1,1,1,35
2,1,43,17,0,1,1,1,1,1
2,1,43,17,1,2,1,1,1,51
2,1,43,17,0,1,1,1,1,11
2,1,43,17,0,3,1,1,1,14
2,1,43,17,1,3,1,1,1,28
2,1,43,17,1,3,1,1,1,1
2,1,43,17,1,3,1,1,1,19
2,1,43,17,1,3,1,1,1,22
2,1,43,17,1,1,1,1,1,2
2,1,43,17,0,2,1,1,1,32
2,1,43,17,0,1,1,1,1,9
2,1,43,17,0,1,1,1,1,10
2,1,43,17,0,3,1,1,1,14
2,1,43,17,1,3,1,1,1,18
2,1,43,17,0,1,1,1,1,4
2,1,43,17,1,3,1,1,1,17
2,1,43,17,1,1,1,1,1,22
2,1,43,17,0,3,1,1,1,2
2,1,43,17,1,2,1,1,1,31
2,1,43,17,1,1,1,1,1,9
2,1,43,17,1,1,5,1,1,14
2,1,43,17,1,3,1,1,1,5
2,1,43,17,1,3,1,1,1,17
2,1,43,17,0,3,1,1,1,46
2,1,43,17,0,3,7,1,1,17
2,1,43,17,0,3,1,1,1,9
2,1,43,17,0,3,1,1,1,17
2,1,43,17,1,2,1,1,1,5
2,1,43,17,1,3,1,1,1,25
2,1,43,17,1,3,1,1,1,9
2,1,43,17,0,3,1,1,1,16
2,1,43,17,1,3,1,1,1,27
2,1,43,17,1,3,1,1,1,30
2,1,43,17,1,3,1,1,1,4
2,1,43,17,1,2,11,1,1,35
2,1,43,17,1,2,1,1,1,25
2,1,43,17,0,1,1,1,1,14
2,1,43,17,1,3,1,1,1,13
2,1,43,17,1,3,1,1,1,30
2,1,43,17,0,3,1,1,1,2
2,1,43,17,0,3,1,1,1,26
2,1,43,17,1,1,1,1,1,10
2,1,43,17,0,2,7,1,1,49
2,1,43,17,0,1,1,1,1,4
2,1,43,17,1,2,1,1,1,25
2,1,43,17,1,1,1,1,1,1
3,1,43,12,0,3,1,1,1,16
3,1,43,12,1,3,11,1,1,6
3,1,43,12,1,3,1,1,1,28
3,1,43,12,1,3,1,1,1,9
3,1,43,12,1,3,1,1,1,23
3,1,43,12,1,1,1,1,1,18
3,1,43,12,1,1,1,1,1,5
3,1,43,12,1,2,1,1,1,43
3,1,43,12,1,1,1,1,1,16
3,1,43,12,0,3,1,1,1,17
3,1,43,12,1,1,1,1,1,10
