Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 83, 84, 85, 86, 87, 89, 90, 91, 92], '1': [81]}"
average,euclidean,3,"{'0': [83, 84], '1': [81], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 85, 86, 87, 89, 90, 91, 92]}"
average,euclidean,4,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 76, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [83], '2': [84], '3': [81]}"
average,euclidean,5,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 80, 85, 86, 87, 89, 90, 91, 92], '1': [83], '2': [84], '3': [81], '4': [76]}"
average,euclidean,6,"{'0': [80, 85], '1': [83], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '3': [81], '4': [76], '5': [84]}"
average,euclidean,7,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [83], '2': [85], '3': [81], '4': [76], '5': [84], '6': [80]}"
average,euclidean,8,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 86, 87, 89, 90, 91, 92], '1': [83], '2': [85], '3': [81], '4': [76], '5': [84], '6': [80], '7': [70]}"
average,euclidean,9,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 78, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [83], '4': [76], '5': [84], '6': [80], '7': [70], '8': [81]}"
average,euclidean,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [83], '4': [78], '5': [84], '6': [80], '7': [70], '8': [81], '9': [76]}"
average,euclidean,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [83], '4': [78], '5': [84], '6': [80], '7': [70], '8': [81], '9': [76], '10': [46]}"
average,euclidean,12,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [85], '3': [83], '4': [78], '5': [84], '6': [80], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52]}"
average,euclidean,13,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [90], '3': [83], '4': [78], '5': [85], '6': [80], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [84]}"
average,euclidean,14,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [90], '3': [83], '4': [78], '5': [85], '6': [80], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [84], '13': [28]}"
average,euclidean,15,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 30, 55, 59, 87, 89, 91, 92], '1': [86], '2': [57, 61, 67], '3': [83], '4': [78], '5': [85], '6': [90], '7': [70], '8': [81], '9': [76], '10': [46], '11': [52], '12': [84], '13': [28], '14': [80]}"
average,manhattan,2,"{'0': [70, 76, 78, 80, 81, 83, 84, 85, 86], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92]}"
average,manhattan,3,"{'0': [70, 76, 78, 80, 83, 84, 85, 86], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '2': [81]}"
average,manhattan,4,"{'0': [76, 80, 83, 84, 85], '1': [70, 78, 86], '2': [81], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92]}"
average,manhattan,5,"{'0': [76, 80, 85], '1': [70, 78, 86], '2': [81], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '4': [83, 84]}"
average,manhattan,6,"{'0': [70, 78, 86], '1': [83, 84], '2': [81], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '4': [80, 85], '5': [76]}"
average,manhattan,7,"{'0': [83, 84], '1': [80, 85], '2': [81], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '4': [78, 86], '5': [76], '6': [70]}"
average,manhattan,8,"{'0': [80, 85], '1': [78, 86], '2': [81], '3': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '4': [84], '5': [76], '6': [70], '7': [83]}"
average,manhattan,9,"{'0': [78, 86], '1': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '2': [81], '3': [85], '4': [84], '5': [76], '6': [70], '7': [83], '8': [80]}"
average,manhattan,10,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [81], '3': [85], '4': [84], '5': [76], '6': [70], '7': [83], '8': [80], '9': [78]}"
average,manhattan,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 52, 55, 57, 59, 61, 67, 87, 89, 90, 91, 92], '1': [86], '2': [81], '3': [85], '4': [84], '5': [76], '6': [70], '7': [83], '8': [80], '9': [78], '10': [46]}"
average,manhattan,12,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [52, 90], '3': [85], '4': [84], '5': [81], '6': [70], '7': [83], '8': [80], '9': [78], '10': [46], '11': [76]}"
