Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 46, 52, 55, 57, 59, 61, 67, 70, 78, 86, 87, 89, 90, 91, 92], '1': [76, 80, 81, 83, 84, 85]}"
average,euclidean,3,"{'0': [76, 80, 81, 83, 84, 85], '1': [46, 52, 70, 78, 86, 90], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92]}"
average,euclidean,4,"{'0': [81, 83, 84], '1': [76, 80, 85], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '3': [46, 52, 70, 78, 86, 90]}"
average,euclidean,5,"{'0': [83, 84], '1': [76, 80, 85], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '3': [46, 52, 70, 78, 86, 90], '4': [81]}"
average,euclidean,6,"{'0': [76, 80, 85], '1': [46, 52, 70, 78, 86, 90], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '3': [84], '4': [81], '5': [83]}"
average,euclidean,7,"{'0': [46, 52, 70, 78, 86, 90], '1': [76, 80], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '3': [84], '4': [81], '5': [83], '6': [85]}"
average,euclidean,8,"{'0': [76, 80], '1': [46, 52, 78, 86, 90], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '3': [84], '4': [81], '5': [83], '6': [85], '7': [70]}"
average,euclidean,9,"{'0': [46, 52, 78, 86, 90], '1': [84], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '3': [80], '4': [81], '5': [83], '6': [85], '7': [70], '8': [76]}"
average,euclidean,10,"{'0': [46, 52, 78, 90], '1': [86], '2': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '3': [80], '4': [84], '5': [83], '6': [85], '7': [70], '8': [76], '9': [81]}"
average,euclidean,11,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 22, 24, 25, 27, 28, 30, 55, 57, 59, 61, 67, 87, 89, 91, 92], '1': [86], '2': [46, 52, 90], '3': [80], '4': [84], '5': [83], '6': [85], '7': [70], '8': [76], '9': [81], '10': [78]}"
average,euclidean,12,"{'0': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 67, 87, 89, 91, 92], '1': [86], '2': [46, 52, 90], '3': [80], '4': [84], '5': [22, 28, 57, 59], '6': [85], '7': [70], '8': [76], '9': [81], '10': [78], '11': [83]}"
average,euclidean,13,"{'0': [46, 52, 90], '1': [86], '2': [22, 28, 57, 59], '3': [80], '4': [84], '5': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '6': [85], '7': [70], '8': [76], '9': [81], '10': [78], '11': [83], '12': [67]}"
average,euclidean,14,"{'0': [22, 28, 57, 59], '1': [86], '2': [2, 5, 6, 9, 10, 12, 18, 20, 24, 25, 27, 30, 55, 61, 87, 89, 91, 92], '3': [80], '4': [84], '5': [46, 52], '6': [90], '7': [70], '8': [76], '9': [81], '10': [78], '11': [83], '12': [67], '13': [85]}"
