Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [81, 80], '1': [83, 52, 76, 25, 85, 20, 86, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10]}"
average,euclidean,3,"{'0': [83, 52, 76, 25, 85, 20, 86, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 9, 24, 27, 59, 70, 92, 18, 10], '1': [80], '2': [81]}"
average,euclidean,4,"{'0': [83, 52, 76, 85, 20, 84, 78, 5, 30, 2, 55, 87, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [25, 86, 9], '2': [81], '3': [80]}"
average,euclidean,5,"{'0': [83, 52, 76, 85, 20, 78, 5, 30, 2, 55, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [25, 86, 9], '2': [81], '3': [80], '4': [84, 87]}"
average,euclidean,6,"{'0': [83, 52, 85, 20, 5, 30, 2, 55, 46, 12, 61, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [25, 86, 9], '2': [76, 78], '3': [80], '4': [84, 87], '5': [81]}"
average,euclidean,7,"{'0': [25, 86, 9], '1': [83, 85, 20, 5, 30, 46, 12, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '2': [76, 78], '3': [80], '4': [84, 87], '5': [81], '6': [52, 2, 55, 61]}"
average,euclidean,8,"{'0': [76, 78], '1': [83, 85, 20, 5, 30, 46, 12, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '2': [52, 2, 55, 61], '3': [86], '4': [84, 87], '5': [81], '6': [25, 9], '7': [80]}"
average,euclidean,9,"{'0': [83, 85, 20, 5, 30, 46, 12, 67, 90, 91, 22, 89, 57, 6, 28, 24, 27, 59, 70, 92, 18, 10], '1': [84, 87], '2': [52, 2, 55, 61], '3': [86], '4': [78], '5': [81], '6': [25, 9], '7': [80], '8': [76]}"
average,euclidean,10,"{'0': [30, 91, 22, 28, 24, 18], '1': [83, 85, 20, 5, 46, 12, 67, 90, 89, 57, 6, 27, 59, 70, 92, 10], '2': [52, 2, 55, 61], '3': [86], '4': [84, 87], '5': [81], '6': [25, 9], '7': [80], '8': [76], '9': [78]}"
average,euclidean,11,"{'0': [83, 85, 20, 5, 46, 12, 67, 90, 89, 57, 6, 27, 59, 70, 92, 10], '1': [84, 87], '2': [52, 2, 55, 61], '3': [86], '4': [30, 22, 28, 24, 18], '5': [81], '6': [25, 9], '7': [80], '8': [76], '9': [78], '10': [91]}"
average,euclidean,12,"{'0': [52, 2, 55, 61], '1': [84, 87], '2': [83, 20, 5, 46, 12, 67, 90, 89, 57, 6, 59, 70, 92, 10], '3': [86], '4': [30, 22, 28, 24, 18], '5': [85, 27], '6': [25, 9], '7': [80], '8': [76], '9': [78], '10': [91], '11': [81]}"
average,euclidean,13,"{'0': [52, 2, 55], '1': [84, 87], '2': [83, 20, 5, 46, 12, 67, 90, 89, 57, 6, 59, 70, 92, 10], '3': [86], '4': [30, 22, 28, 24, 18], '5': [85, 27], '6': [25, 9], '7': [80], '8': [76], '9': [78], '10': [91], '11': [81], '12': [61]}"
