Number_of_Clusters,TASK_Group
2,"{0: [83, 52, 81, 80, 85, 20, 84, 5, 87, 46, 12, 61, 67, 90, 89, 57, 6, 27, 59, 70, 92, 10], 1: [76, 25, 86, 78, 30, 2, 55, 91, 22, 28, 9, 24, 18]}"
3,"{0: [83, 81, 80, 20, 5, 46, 12, 67, 90, 57, 6, 27, 59, 70, 10], 1: [52, 84, 2, 55, 87, 61, 89, 92], 2: [76, 25, 85, 86, 78, 30, 91, 22, 28, 9, 24, 18]}"
4,"{0: [81, 80, 20, 67, 90, 57, 6, 59, 70, 10], 1: [76, 86, 78, 30, 91, 22, 28, 9, 24, 18], 2: [83, 25, 85, 84, 5, 87, 46, 12, 89, 27, 92], 3: [52, 2, 55, 61]}"
5,"{0: [83, 81, 20, 5, 46, 12, 67, 90, 57, 6, 24, 59, 70, 92, 10], 1: [76, 86, 78, 30, 91, 22, 28, 9, 18], 2: [25, 85, 84, 27], 3: [80], 4: [52, 2, 55, 87, 61, 89]}"
6,"{0: [83, 52, 78, 2, 55, 87, 46, 61, 89, 92], 1: [80], 2: [81, 20, 5, 12, 67, 90, 57, 6, 59, 70, 10], 3: [25, 86, 84, 9], 4: [85, 30, 91, 22, 28, 24, 27, 18], 5: [76]}"
7,"{0: [52, 78, 2, 55, 87, 61, 89, 92], 1: [76, 30, 91, 22, 28, 24, 18], 2: [83, 25, 84, 5, 46, 12, 27, 10], 3: [20, 67, 90, 57, 6, 70], 4: [81, 80, 59], 5: [86, 9], 6: [85]}"
8,"{0: [52, 2, 55, 61, 89, 92], 1: [25, 86, 9], 2: [80], 3: [76, 78], 4: [30, 91], 5: [83, 81, 20, 5, 46, 12, 67, 90, 57, 6, 59, 70, 10], 6: [85, 22, 28, 24, 27, 18], 7: [84, 87]}"
9,"{0: [30, 91, 22, 28, 24, 18], 1: [83, 84, 5, 46], 2: [20, 12, 67, 90, 57, 6, 27, 59, 70, 10], 3: [86, 9], 4: [80], 5: [76], 6: [52, 78, 2, 55, 87, 61, 89, 92], 7: [81], 8: [25, 85]}"
10,"{0: [83, 5, 46], 1: [81, 20, 67, 90, 57, 6, 59, 70, 10], 2: [30, 22, 24], 3: [52, 2, 55, 12, 61, 89, 92], 4: [25, 86, 9], 5: [85, 28, 27, 18], 6: [80], 7: [76, 78], 8: [84, 87], 9: [91]}"
11,"{0: [83, 5, 46], 1: [81, 20, 67, 90, 57, 6, 59, 70, 10], 2: [30], 3: [52, 2, 55, 12, 61, 89, 92], 4: [25, 86, 9], 5: [85, 27], 6: [80], 7: [76, 78], 8: [84, 87], 9: [91], 10: [22, 28, 24, 18]}"
12,"{0: [83, 5, 46], 1: [20, 67, 90, 57, 6, 59, 70, 10], 2: [30], 3: [52, 2, 55, 12, 61, 89, 92], 4: [25, 86, 9], 5: [85, 27], 6: [80], 7: [76, 78], 8: [84, 87], 9: [91], 10: [22, 28, 24, 18], 11: [81]}"
13,"{0: [91], 1: [52, 2, 55, 61, 89, 92], 2: [83, 5, 46, 12, 67, 57, 6, 10], 3: [30, 22, 28, 24, 18], 4: [25, 85, 9], 5: [20, 90, 27, 70], 6: [78], 7: [86], 8: [76], 9: [84, 87], 10: [81], 11: [59], 12: [80]}"
14,"{0: [83, 5, 46], 1: [86], 2: [67, 57], 3: [85, 27], 4: [52, 2, 12, 61, 89, 92], 5: [84, 87], 6: [80], 7: [30, 91, 22, 28, 24, 18], 8: [81], 9: [78], 10: [20, 90, 6, 59, 70, 10], 11: [25, 9], 12: [76], 13: [55]}"
15,"{0: [22, 24], 1: [52, 2, 55, 61, 89, 92], 2: [25, 9], 3: [20, 67, 90, 70], 4: [76], 5: [80], 6: [81], 7: [84, 87], 8: [83, 5, 46, 12, 57, 6, 10], 9: [85, 27], 10: [86], 11: [78], 12: [91, 28, 18], 13: [30], 14: [59]}"
16,"{0: [9], 1: [67], 2: [52, 2, 61, 89, 92], 3: [30, 22, 28, 24, 18], 4: [25, 85], 5: [81], 6: [80], 7: [78], 8: [86], 9: [83, 5, 46, 12, 6, 10], 10: [91], 11: [87], 12: [76], 13: [84], 14: [20, 90, 57, 27, 59, 70], 15: [55]}"
17,"{0: [83, 5, 46], 1: [20, 67, 90, 57, 6, 59, 70], 2: [30], 3: [52, 2, 55, 61, 89, 92], 4: [9], 5: [85, 27], 6: [80], 7: [76], 8: [84], 9: [91], 10: [22, 28, 24, 18], 11: [81], 12: [78], 13: [87], 14: [86], 15: [25], 16: [12, 10]}"
18,"{0: [78], 1: [57], 2: [25, 85], 3: [12, 10], 4: [55], 5: [52, 2, 61, 89, 92], 6: [80], 7: [86], 8: [91], 9: [20, 90, 27, 70], 10: [67, 6, 59], 11: [30, 22, 28, 24, 18], 12: [84], 13: [81], 14: [83, 5, 46], 15: [87], 16: [76], 17: [9]}"
19,"{0: [59], 1: [2], 2: [20, 90, 57, 27, 70], 3: [30, 22, 28, 24, 18], 4: [78], 5: [52, 61, 89, 92], 6: [86], 7: [81], 8: [80], 9: [83, 5, 46], 10: [85], 11: [84], 12: [76], 13: [25, 9], 14: [55], 15: [87], 16: [67, 6], 17: [91], 18: [12, 10]}"
20,"{0: [85, 27], 1: [83, 5, 46, 57, 6], 2: [2, 61, 92], 3: [18], 4: [80], 5: [25, 9], 6: [81], 7: [52, 89], 8: [22, 28, 24], 9: [76], 10: [84], 11: [87], 12: [86], 13: [59], 14: [20, 67, 90, 70], 15: [30], 16: [78], 17: [55], 18: [91], 19: [12, 10]}"
