Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16]}"
average,euclidean,3,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15]}"
average,euclidean,4,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15], '3': [0]}"
average,euclidean,5,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15], '3': [0], '4': [14]}"
average,euclidean,6,"{'0': [1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15], '3': [0], '4': [14], '5': [2]}"
average,euclidean,7,"{'0': [3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [16], '2': [10, 15], '3': [0], '4': [14], '5': [2], '6': [1]}"
average,euclidean,8,"{'0': [10, 15], '1': [27], '2': [3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '3': [16], '4': [14], '5': [2], '6': [1], '7': [0]}"
average,euclidean,9,"{'0': [3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [27], '2': [15], '3': [16], '4': [14], '5': [2], '6': [1], '7': [0], '8': [10]}"
average,euclidean,10,"{'0': [3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28], '1': [27], '2': [15], '3': [16], '4': [14], '5': [2], '6': [1], '7': [0], '8': [10], '9': [9]}"
average,euclidean,11,"{'0': [3, 4, 5, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [15], '3': [16], '4': [27], '5': [2], '6': [1], '7': [0], '8': [10], '9': [9], '10': [14]}"
average,euclidean,12,"{'0': [3, 4, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [15], '3': [16], '4': [27], '5': [5], '6': [1], '7': [0], '8': [10], '9': [9], '10': [14], '11': [2]}"
average,euclidean,13,"{'0': [4, 6, 7, 8, 11, 12, 13, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [15], '3': [16], '4': [27], '5': [5], '6': [1], '7': [0], '8': [10], '9': [9], '10': [14], '11': [2], '12': [3]}"
average,euclidean,14,"{'0': [4, 6, 7, 8, 11, 12, 13, 17, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [18], '3': [16], '4': [27], '5': [5], '6': [15], '7': [0], '8': [10], '9': [9], '10': [14], '11': [2], '12': [3], '13': [1]}"
average,euclidean,15,"{'0': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25, 26], '1': [28], '2': [18], '3': [16], '4': [27], '5': [5], '6': [17], '7': [0], '8': [10], '9': [9], '10': [14], '11': [2], '12': [3], '13': [1], '14': [15]}"
average,manhattan,2,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 15, 16, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
average,manhattan,3,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 15, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [16]}"
average,manhattan,4,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [16], '3': [15]}"
average,manhattan,5,"{'0': [2, 5, 17, 26], '1': [0, 1, 3, 9, 10, 14, 18, 27, 28], '2': [16], '3': [15], '4': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
average,manhattan,6,"{'0': [0, 1, 3, 9, 10, 14, 18, 27, 28], '1': [2, 5], '2': [17, 26], '3': [15], '4': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '5': [16]}"
average,manhattan,7,"{'0': [0, 1, 3, 9, 14, 18, 27, 28], '1': [2, 5], '2': [17, 26], '3': [15], '4': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '5': [16], '6': [10]}"
average,manhattan,8,"{'0': [2, 5], '1': [3, 18, 27, 28], '2': [17, 26], '3': [0, 1, 9, 14], '4': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '5': [16], '6': [10], '7': [15]}"
average,manhattan,9,"{'0': [3, 18, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [17, 26], '3': [0, 1, 9, 14], '4': [5], '5': [16], '6': [10], '7': [15], '8': [2]}"
average,manhattan,10,"{'0': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '1': [0, 1, 9, 14], '2': [17, 26], '3': [18, 27, 28], '4': [5], '5': [16], '6': [10], '7': [15], '8': [2], '9': [3]}"
average,manhattan,11,"{'0': [0, 1, 9, 14], '1': [18, 27, 28], '2': [17, 26], '3': [8, 12, 13, 21, 25], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [16], '6': [10], '7': [15], '8': [2], '9': [3], '10': [5]}"
average,manhattan,12,"{'0': [17, 26], '1': [18, 27, 28], '2': [1, 9, 14], '3': [8, 12, 13, 21, 25], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [16], '6': [10], '7': [15], '8': [2], '9': [3], '10': [5], '11': [0]}"
average,manhattan,13,"{'0': [1, 9, 14], '1': [18, 27, 28], '2': [26], '3': [8, 12, 13, 21, 25], '4': [4, 6, 7, 11, 19, 20, 22, 23, 24], '5': [17], '6': [10], '7': [15], '8': [2], '9': [3], '10': [5], '11': [0], '12': [16]}"
