Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 15, 16, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
average,euclidean,3,"{'0': [0, 1, 2, 3, 5, 9, 10, 14, 16, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [15]}"
average,euclidean,4,"{'0': [0, 16], '1': [1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '2': [15], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]}"
average,euclidean,5,"{'0': [1, 2, 3, 5, 9, 10, 14, 17, 18, 26, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [15], '3': [16], '4': [0]}"
average,euclidean,6,"{'0': [2, 5, 14, 17, 26], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [1, 3, 9, 10, 18, 27, 28], '3': [16], '4': [0], '5': [15]}"
average,euclidean,7,"{'0': [1, 3, 9, 10, 18, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [14, 17, 26], '3': [16], '4': [0], '5': [15], '6': [2, 5]}"
average,euclidean,8,"{'0': [1, 3, 9, 18, 27, 28], '1': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '2': [14, 17, 26], '3': [16], '4': [0], '5': [15], '6': [2, 5], '7': [10]}"
average,euclidean,9,"{'0': [14, 17, 26], '1': [1, 27], '2': [3, 9, 18, 28], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [0], '5': [15], '6': [2, 5], '7': [10], '8': [16]}"
average,euclidean,10,"{'0': [3, 9, 18, 28], '1': [1, 27], '2': [2, 5], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [14], '5': [15], '6': [17, 26], '7': [10], '8': [16], '9': [0]}"
average,euclidean,11,"{'0': [1, 27], '1': [3, 18, 28], '2': [2, 5], '3': [4, 6, 7, 8, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25], '4': [14], '5': [15], '6': [17, 26], '7': [10], '8': [16], '9': [0], '10': [9]}"
