Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]}"
average,euclidean,3,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [9]}"
average,euclidean,4,"{'0': [3, 4, 5, 6, 7, 8, 12, 13, 14], '1': [0, 1, 2, 10, 11], '2': [9], '3': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]}"
average,euclidean,5,"{'0': [0, 1, 2, 10, 11], '1': [3, 4, 5, 6, 7, 8, 12, 14], '2': [9], '3': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '4': [13]}"
average,euclidean,6,"{'0': [3, 4, 5, 6, 7, 8, 12, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [9], '3': [1, 2, 10, 11], '4': [13], '5': [0]}"
average,euclidean,7,"{'0': [3, 5, 6, 12, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [4, 7, 8], '3': [1, 2, 10, 11], '4': [13], '5': [0], '6': [9]}"
average,euclidean,8,"{'0': [4, 7, 8], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [3, 5, 12, 14], '3': [1, 2, 10, 11], '4': [13], '5': [0], '6': [9], '7': [6]}"
average,euclidean,9,"{'0': [4, 8], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [3, 5, 12, 14], '3': [1, 2, 10, 11], '4': [13], '5': [0], '6': [9], '7': [6], '8': [7]}"
average,euclidean,10,"{'0': [3, 5, 12, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [9], '3': [1, 2, 10, 11], '4': [13], '5': [0], '6': [8], '7': [6], '8': [7], '9': [4]}"
average,euclidean,11,"{'0': [12, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [9], '3': [1, 2, 10, 11], '4': [3, 5], '5': [0], '6': [8], '7': [6], '8': [7], '9': [4], '10': [13]}"
average,euclidean,12,"{'0': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [3, 5], '2': [12], '3': [1, 2, 10, 11], '4': [14], '5': [9], '6': [8], '7': [6], '8': [7], '9': [4], '10': [13], '11': [0]}"
average,euclidean,13,"{'0': [3, 5], '1': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '2': [22], '3': [1, 2, 10, 11], '4': [14], '5': [12], '6': [8], '7': [6], '8': [7], '9': [4], '10': [13], '11': [0], '12': [9]}"
average,euclidean,14,"{'0': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '1': [1, 2, 10, 11], '2': [22], '3': [7], '4': [14], '5': [12], '6': [8], '7': [6], '8': [5], '9': [4], '10': [13], '11': [0], '12': [9], '13': [3]}"
average,euclidean,15,"{'0': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 28], '1': [1, 2, 10, 11], '2': [26, 27], '3': [7], '4': [14], '5': [12], '6': [22], '7': [6], '8': [5], '9': [4], '10': [13], '11': [0], '12': [9], '13': [3], '14': [8]}"
average,manhattan,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]}"
average,manhattan,3,"{'0': [0, 1, 2, 10, 11], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [3, 4, 5, 6, 7, 8, 9, 12, 13, 14]}"
average,manhattan,4,"{'0': [3, 4, 5, 6, 7, 8, 9, 12, 13, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [1, 2, 10, 11], '3': [0]}"
average,manhattan,5,"{'0': [3, 4, 5, 6, 7, 8, 12, 13, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '2': [1, 2, 10, 11], '3': [0], '4': [9]}"
average,manhattan,6,"{'0': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [3, 4, 5, 6, 7, 8, 12, 14], '2': [1, 2, 10, 11], '3': [0], '4': [9], '5': [13]}"
average,manhattan,7,"{'0': [3, 4, 5, 6, 7, 8, 12, 14], '1': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '2': [1, 2, 10, 11], '3': [0], '4': [9], '5': [13], '6': [22]}"
average,manhattan,8,"{'0': [3, 4, 6, 7, 8], '1': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '2': [1, 2, 10, 11], '3': [5, 12, 14], '4': [9], '5': [13], '6': [22], '7': [0]}"
average,manhattan,9,"{'0': [1, 2, 10, 11], '1': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '2': [3, 4, 6, 7], '3': [5, 12, 14], '4': [9], '5': [13], '6': [22], '7': [0], '8': [8]}"
average,manhattan,10,"{'0': [3, 4, 6, 7], '1': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '2': [2, 10, 11], '3': [5, 12, 14], '4': [9], '5': [13], '6': [22], '7': [0], '8': [8], '9': [1]}"
average,manhattan,11,"{'0': [15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '1': [5, 12, 14], '2': [2, 10, 11], '3': [3, 4, 6], '4': [9], '5': [13], '6': [22], '7': [0], '8': [8], '9': [1], '10': [7]}"
average,manhattan,12,"{'0': [5, 12, 14], '1': [17, 18, 19, 20, 28], '2': [15, 16, 21, 23, 24, 25, 26, 27], '3': [3, 4, 6], '4': [9], '5': [2, 10, 11], '6': [22], '7': [0], '8': [8], '9': [1], '10': [7], '11': [13]}"
average,manhattan,13,"{'0': [17, 18, 19, 20, 28], '1': [3, 4, 6], '2': [15, 16, 21, 23, 24, 25, 26, 27], '3': [12, 14], '4': [9], '5': [2, 10, 11], '6': [22], '7': [0], '8': [8], '9': [1], '10': [7], '11': [13], '12': [5]}"
average,manhattan,14,"{'0': [3, 4, 6], '1': [12, 14], '2': [15, 16, 21, 23, 24, 25, 26, 27], '3': [18, 19, 20, 28], '4': [9], '5': [2, 10, 11], '6': [22], '7': [0], '8': [8], '9': [1], '10': [7], '11': [13], '12': [5], '13': [17]}"
average,manhattan,15,"{'0': [15, 16, 21, 23, 24, 25, 26, 27], '1': [12, 14], '2': [3, 6], '3': [18, 19, 20, 28], '4': [9], '5': [2, 10, 11], '6': [22], '7': [0], '8': [8], '9': [1], '10': [7], '11': [13], '12': [5], '13': [17], '14': [4]}"
average,cosine,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], '1': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]}"
average,cosine,3,"{'0': [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], '2': [0]}"
average,cosine,4,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], '1': [15, 16, 21, 23, 24, 25, 26, 27], '2': [0], '3': [17, 18, 19, 20, 22, 28]}"
average,cosine,5,"{'0': [15, 16, 21, 23, 24, 25, 26, 27], '1': [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14], '2': [0], '3': [17, 18, 19, 20, 22, 28], '4': [1, 10]}"
average,cosine,6,"{'0': [21, 24, 26, 27], '1': [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14], '2': [15, 16, 23, 25], '3': [17, 18, 19, 20, 22, 28], '4': [1, 10], '5': [0]}"
average,cosine,7,"{'0': [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14], '1': [1, 10], '2': [15, 16, 23, 25], '3': [17, 18, 19, 20, 22, 28], '4': [26, 27], '5': [0], '6': [21, 24]}"
average,cosine,8,"{'0': [1, 10], '1': [17, 18, 19, 20, 22, 28], '2': [15, 16, 23, 25], '3': [2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14], '4': [26, 27], '5': [0], '6': [21, 24], '7': [8]}"
average,cosine,9,"{'0': [17, 18, 19, 20, 22, 28], '1': [2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14], '2': [15, 16, 23, 25], '3': [10], '4': [26, 27], '5': [0], '6': [21, 24], '7': [8], '8': [1]}"
average,cosine,10,"{'0': [2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14], '1': [19, 22, 28], '2': [15, 16, 23, 25], '3': [10], '4': [17, 18, 20], '5': [0], '6': [21, 24], '7': [8], '8': [1], '9': [26, 27]}"
average,cosine,11,"{'0': [19, 22, 28], '1': [2, 3, 4, 5, 7, 11, 12, 13, 14], '2': [15, 16, 23, 25], '3': [10], '4': [6, 9], '5': [0], '6': [21, 24], '7': [8], '8': [1], '9': [26, 27], '10': [17, 18, 20]}"
average,cosine,12,"{'0': [15, 16, 23, 25], '1': [2, 3, 4, 5, 7, 11, 12, 13, 14], '2': [21, 24], '3': [10], '4': [6, 9], '5': [22], '6': [19, 28], '7': [8], '8': [1], '9': [26, 27], '10': [17, 18, 20], '11': [0]}"
average,cosine,13,"{'0': [2, 3, 4, 5, 7, 11, 12, 13, 14], '1': [6, 9], '2': [21, 24], '3': [10], '4': [17, 18, 20], '5': [16, 23], '6': [19, 28], '7': [8], '8': [1], '9': [26, 27], '10': [15, 25], '11': [0], '12': [22]}"
average,cosine,14,"{'0': [6, 9], '1': [17, 18, 20], '2': [4, 13], '3': [10], '4': [26, 27], '5': [16, 23], '6': [21, 24], '7': [8], '8': [1], '9': [2, 3, 5, 7, 11, 12, 14], '10': [15, 25], '11': [0], '12': [22], '13': [19, 28]}"
average,cosine,15,"{'0': [17, 18, 20], '1': [26, 27], '2': [4, 13], '3': [10], '4': [2, 3, 5, 7, 11, 12, 14], '5': [16, 23], '6': [21, 24], '7': [8], '8': [1], '9': [9], '10': [15, 25], '11': [0], '12': [22], '13': [19, 28], '14': [6]}"
average,precomputed,2,"{'0': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], '1': [14]}"
average,precomputed,3,"{'0': [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28], '1': [14], '2': [5, 22]}"
average,precomputed,4,"{'0': [0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28], '1': [7, 24], '2': [5, 22], '3': [14]}"
average,precomputed,5,"{'0': [0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20, 23, 25, 26, 27, 28], '1': [12, 21], '2': [5, 22], '3': [14], '4': [7, 24]}"
average,precomputed,6,"{'0': [5, 22], '1': [12, 21], '2': [0, 1, 2, 3, 4, 6, 8, 9, 11, 16, 17, 18, 19, 20, 23, 25, 26, 27, 28], '3': [14], '4': [7, 24], '5': [10, 13, 15]}"
average,precomputed,7,"{'0': [0, 1, 2, 3, 4, 6, 8, 9, 11, 16, 17, 18, 19, 20, 23, 25, 26, 27, 28], '1': [12, 21], '2': [10, 13, 15], '3': [14], '4': [7, 24], '5': [22], '6': [5]}"
average,precomputed,8,"{'0': [0, 1, 2, 4, 6, 8, 9, 11, 16, 17, 19, 20, 23, 25, 26, 27, 28], '1': [3, 18], '2': [10, 13, 15], '3': [12, 21], '4': [7, 24], '5': [22], '6': [5], '7': [14]}"
average,precomputed,9,"{'0': [0, 1, 2, 4, 6, 8, 17, 19, 23, 25, 26, 27, 28], '1': [9, 11, 16, 20], '2': [10, 13, 15], '3': [3, 18], '4': [7, 24], '5': [22], '6': [5], '7': [14], '8': [12, 21]}"
average,precomputed,10,"{'0': [9, 11, 16, 20], '1': [1, 4, 8, 23, 25, 27], '2': [10, 13, 15], '3': [3, 18], '4': [0, 2, 6, 17, 19, 26, 28], '5': [22], '6': [5], '7': [14], '8': [12, 21], '9': [7, 24]}"
average,precomputed,11,"{'0': [1, 4, 8, 23, 25, 27], '1': [0, 2, 6, 17, 19, 26, 28], '2': [10, 13, 15], '3': [3, 18], '4': [11, 20], '5': [22], '6': [5], '7': [14], '8': [12, 21], '9': [7, 24], '10': [9, 16]}"
average,precomputed,12,"{'0': [0, 2, 6, 17, 19, 26, 28], '1': [1, 4, 23, 25], '2': [10, 13, 15], '3': [3, 18], '4': [11, 20], '5': [8, 27], '6': [5], '7': [14], '8': [12, 21], '9': [7, 24], '10': [9, 16], '11': [22]}"
average,precomputed,13,"{'0': [0, 2, 17, 19, 26], '1': [1, 4, 23, 25], '2': [10, 13, 15], '3': [3, 18], '4': [11, 20], '5': [6, 28], '6': [5], '7': [14], '8': [12, 21], '9': [7, 24], '10': [9, 16], '11': [22], '12': [8, 27]}"
average,precomputed,14,"{'0': [10, 13, 15], '1': [1, 4, 23, 25], '2': [0, 17, 26], '3': [3, 18], '4': [11, 20], '5': [6, 28], '6': [2, 19], '7': [14], '8': [12, 21], '9': [7, 24], '10': [9, 16], '11': [22], '12': [8, 27], '13': [5]}"
