Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 39, 40, 41, 42], '1': [34, 36]}"
average,euclidean,3,"{'0': [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 35, 37, 38, 39, 41, 42], '1': [34, 36], '2': [4, 25, 27, 40]}"
average,euclidean,4,"{'0': [4, 25, 27, 40], '1': [1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 37, 39, 41], '2': [11, 12, 16, 20, 21, 35, 38, 42], '3': [34, 36]}"
average,euclidean,5,"{'0': [11, 12, 16, 20, 21, 35, 38, 42], '1': [1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 37, 39, 41], '2': [4, 25, 40], '3': [34, 36], '4': [27]}"
average,euclidean,6,"{'0': [1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 23, 24, 26, 28, 29, 30, 31, 32, 33, 37, 39, 41], '1': [11, 12, 21, 35], '2': [16, 20, 38, 42], '3': [34, 36], '4': [27], '5': [4, 25, 40]}"
average,euclidean,7,"{'0': [11, 12, 21, 35], '1': [1, 2, 3, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 24, 26, 30, 31, 32, 33, 37, 39, 41], '2': [5, 23, 28, 29], '3': [34, 36], '4': [27], '5': [4, 25, 40], '6': [16, 20, 38, 42]}"
average,euclidean,8,"{'0': [1, 2, 3, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 22, 24, 26, 30, 31, 32, 33, 37, 39, 41], '1': [12, 35], '2': [5, 23, 28, 29], '3': [11, 21], '4': [27], '5': [4, 25, 40], '6': [16, 20, 38, 42], '7': [34, 36]}"
average,euclidean,9,"{'0': [5, 23, 28, 29], '1': [12, 35], '2': [6, 9, 10, 13, 30, 33, 37], '3': [1, 2, 3, 7, 8, 14, 15, 17, 18, 19, 22, 24, 26, 31, 32, 39, 41], '4': [27], '5': [4, 25, 40], '6': [16, 20, 38, 42], '7': [34, 36], '8': [11, 21]}"
average,euclidean,10,"{'0': [6, 9, 10, 13, 30, 33, 37], '1': [12, 35], '2': [16, 20, 38, 42], '3': [1, 2, 3, 7, 8, 14, 15, 17, 18, 19, 22, 24, 26, 31, 32, 39, 41], '4': [27], '5': [4, 25, 40], '6': [5, 28, 29], '7': [34, 36], '8': [11, 21], '9': [23]}"
average,euclidean,11,"{'0': [6, 9, 30, 33, 37], '1': [12, 35], '2': [16, 20, 38, 42], '3': [1, 2, 3, 7, 8, 14, 15, 17, 18, 19, 22, 24, 26, 31, 32, 39, 41], '4': [10, 13], '5': [4, 25, 40], '6': [5, 28, 29], '7': [34, 36], '8': [11, 21], '9': [23], '10': [27]}"
average,euclidean,12,"{'0': [16, 20, 38, 42], '1': [12, 35], '2': [4, 25, 40], '3': [1, 2, 3, 7, 8, 14, 15, 17, 18, 19, 22, 24, 26, 31, 32, 39, 41], '4': [10, 13], '5': [6, 30], '6': [5, 28, 29], '7': [34, 36], '8': [11, 21], '9': [23], '10': [27], '11': [9, 33, 37]}"
average,euclidean,13,"{'0': [4, 25, 40], '1': [12, 35], '2': [5, 28, 29], '3': [1, 2, 3, 7, 8, 14, 15, 17, 18, 19, 22, 24, 26, 31, 32, 39, 41], '4': [10, 13], '5': [6, 30], '6': [16, 20, 38], '7': [34, 36], '8': [11, 21], '9': [23], '10': [27], '11': [9, 33, 37], '12': [42]}"
average,euclidean,14,"{'0': [12, 35], '1': [1, 2, 3, 7, 8, 14, 15, 17, 18, 19, 22, 24, 26, 31, 32, 39, 41], '2': [5, 28, 29], '3': [25, 40], '4': [10, 13], '5': [6, 30], '6': [16, 20, 38], '7': [34, 36], '8': [11, 21], '9': [23], '10': [27], '11': [9, 33, 37], '12': [42], '13': [4]}"
average,euclidean,15,"{'0': [1, 2, 3, 7, 8, 14, 15, 17, 18, 19, 22, 24, 26, 31, 32, 39, 41], '1': [25, 40], '2': [5, 28, 29], '3': [11, 21], '4': [10, 13], '5': [6, 30], '6': [16, 20, 38], '7': [34, 36], '8': [35], '9': [23], '10': [27], '11': [9, 33, 37], '12': [42], '13': [4], '14': [12]}"
average,euclidean,16,"{'0': [5, 28, 29], '1': [1, 3, 14, 15, 17, 18, 19, 22, 26, 31], '2': [6, 30], '3': [25, 40], '4': [10, 13], '5': [2, 7, 8, 24, 32, 39, 41], '6': [16, 20, 38], '7': [11, 21], '8': [35], '9': [23], '10': [27], '11': [9, 33, 37], '12': [42], '13': [4], '14': [12], '15': [34, 36]}"
average,euclidean,17,"{'0': [6, 30], '1': [1, 3, 14, 15, 17, 18, 19, 22, 26, 31], '2': [2, 7, 8, 24, 32, 39, 41], '3': [25, 40], '4': [10, 13], '5': [9, 33, 37], '6': [16, 20, 38], '7': [11, 21], '8': [35], '9': [23], '10': [27], '11': [28, 29], '12': [42], '13': [4], '14': [12], '15': [34, 36], '16': [5]}"
average,euclidean,18,"{'0': [2, 7, 8, 24, 32, 39, 41], '1': [1, 3, 14, 15, 17, 18, 19, 22, 26, 31], '2': [9, 33, 37], '3': [25, 40], '4': [10, 13], '5': [28, 29], '6': [16, 20, 38], '7': [11, 21], '8': [35], '9': [23], '10': [27], '11': [30], '12': [42], '13': [4], '14': [12], '15': [34, 36], '16': [5], '17': [6]}"
