Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29, 30, 32, 33, 35, 37, 38, 39, 40, 41, 42], '1': [1, 3, 14, 24, 26, 31, 34, 36]}"
average,euclidean,3,"{'0': [4, 12, 20, 21, 25, 27, 35, 40, 42], '1': [1, 3, 14, 24, 26, 31, 34, 36], '2': [2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 23, 28, 29, 30, 32, 33, 37, 38, 39, 41]}"
average,euclidean,4,"{'0': [4, 25, 27, 40], '1': [12, 20, 21, 35, 42], '2': [2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 23, 28, 29, 30, 32, 33, 37, 38, 39, 41], '3': [1, 3, 14, 24, 26, 31, 34, 36]}"
average,euclidean,5,"{'0': [12, 20, 21, 35, 42], '1': [1, 3, 14, 24, 26, 31, 34, 36], '2': [2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 23, 28, 29, 30, 32, 33, 37, 38, 39, 41], '3': [4, 25, 40], '4': [27]}"
average,euclidean,6,"{'0': [2, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 23, 28, 29, 30, 32, 33, 37, 38, 39, 41], '1': [1, 3, 14, 24, 26, 31, 34, 36], '2': [12, 20, 35, 42], '3': [4, 25, 40], '4': [27], '5': [21]}"
average,euclidean,7,"{'0': [2, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 23, 28, 30, 32, 33, 37, 39, 41], '1': [1, 3, 14, 24, 26, 31, 34, 36], '2': [12, 20, 35, 42], '3': [4, 25, 40], '4': [27], '5': [21], '6': [5, 29, 38]}"
average,euclidean,8,"{'0': [2, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 28, 30, 32, 33, 37, 39, 41], '1': [1, 3, 14, 24, 26, 31, 34, 36], '2': [12, 20, 35, 42], '3': [4, 25, 40], '4': [27], '5': [21], '6': [5, 29, 38], '7': [23]}"
average,euclidean,9,"{'0': [2, 6, 7, 8, 9, 11, 13, 15, 17, 18, 19, 22, 28, 32, 33, 37, 39, 41], '1': [1, 3, 14, 24, 26, 31, 34, 36], '2': [12, 20, 35, 42], '3': [10, 16, 30], '4': [27], '5': [21], '6': [5, 29, 38], '7': [23], '8': [4, 25, 40]}"
average,euclidean,10,"{'0': [12, 20, 35, 42], '1': [2, 7, 8, 11, 15, 17, 18, 19, 22, 41], '2': [6, 9, 13, 28, 32, 33, 37, 39], '3': [10, 16, 30], '4': [1, 3, 14, 24, 26, 31, 34, 36], '5': [21], '6': [5, 29, 38], '7': [23], '8': [4, 25, 40], '9': [27]}"
average,euclidean,11,"{'0': [6, 9, 13, 28, 32, 33, 37, 39], '1': [2, 7, 8, 11, 15, 17, 18, 19, 22, 41], '2': [20, 42], '3': [10, 16, 30], '4': [1, 3, 14, 24, 26, 31, 34, 36], '5': [21], '6': [5, 29, 38], '7': [23], '8': [4, 25, 40], '9': [27], '10': [12, 35]}"
