Linkage,Affinity,Number_of_Clusters,TASK_Group
average,euclidean,2,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42], '1': [32]}"
average,euclidean,3,"{'0': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 34, 35, 36, 37, 38, 39, 40, 41, 42], '1': [32], '2': [33]}"
average,euclidean,4,"{'0': [1, 3, 5, 6, 10, 11, 17, 21, 26, 28, 29, 30, 31, 35, 36, 37, 38, 39, 41], '1': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42], '2': [33], '3': [32]}"
average,euclidean,5,"{'0': [1, 3, 5, 6, 10, 11, 17, 21, 26, 28, 29, 30, 31, 35, 36, 37, 38], '1': [39, 41], '2': [33], '3': [32], '4': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42]}"
average,euclidean,6,"{'0': [39, 41], '1': [1, 3, 5, 6, 10, 17, 21, 26, 28, 29, 30, 31, 35, 36, 37, 38], '2': [33], '3': [32], '4': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42], '5': [11]}"
average,euclidean,7,"{'0': [1, 3, 5, 6, 10, 17, 21, 26, 28, 29, 30, 31, 35, 36, 37, 38], '1': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42], '2': [39], '3': [32], '4': [41], '5': [11], '6': [33]}"
average,euclidean,8,"{'0': [1, 3, 5, 6, 10, 17, 21, 26, 28, 29, 31, 35, 36, 37, 38], '1': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42], '2': [39], '3': [32], '4': [41], '5': [11], '6': [33], '7': [30]}"
average,euclidean,9,"{'0': [1, 3, 5, 6, 10, 21, 26, 28, 29, 31, 35, 36, 37, 38], '1': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42], '2': [39], '3': [32], '4': [41], '5': [11], '6': [33], '7': [30], '8': [17]}"
average,euclidean,10,"{'0': [1, 3, 5, 10, 21, 26, 28, 31, 35, 36, 37, 38], '1': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42], '2': [39], '3': [32], '4': [6, 29], '5': [11], '6': [33], '7': [30], '8': [17], '9': [41]}"
average,euclidean,11,"{'0': [2, 4, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 24, 25, 27, 34, 40, 42], '1': [6, 29], '2': [39], '3': [32], '4': [1, 3, 5, 10, 21, 26, 28, 31, 35, 36, 38], '5': [11], '6': [33], '7': [30], '8': [17], '9': [41], '10': [37]}"
