Number_of_Groups,Task_group
14,"{0: [87, 6], 1: [52, 57, 24, 27], 2: [78, 28, 9, 92, 10], 3: [80, 2, 59], 4: [83, 76, 20], 5: [89, 18], 6: [85, 84, 46, 90], 7: [81], 8: [25, 86, 30], 9: [70], 10: [67, 91], 11: [5], 12: [12, 61, 22], 13: [55]}"
10,"{0: [83, 80, 67, 57, 9, 59], 1: [2, 91], 2: [84, 87, 28, 10], 3: [78, 90, 22], 4: [81, 5, 55, 27], 5: [30], 6: [76, 25, 85, 70, 18], 7: [52, 20], 8: [86, 12, 61, 89, 6, 24], 9: [46, 92]}"
15,"{0: [83, 85, 87, 22, 18], 1: [57, 28, 70], 2: [20, 27], 3: [67, 10], 4: [25, 78, 2], 5: [81, 80, 86], 6: [6, 92], 7: [76], 8: [52, 84], 9: [59], 10: [90], 11: [55, 61], 12: [5, 46, 91, 89, 24], 13: [12, 9], 14: [30]}"
13,"{0: [67, 57], 1: [25, 85, 20, 27], 2: [78, 2, 24, 59], 3: [76, 86], 4: [5, 92], 5: [83, 52, 91, 10], 6: [84, 30, 12, 6, 28, 9], 7: [55, 61, 22], 8: [81, 46, 90], 9: [87], 10: [80], 11: [70], 12: [89, 18]}"
11,"{0: [2, 55], 1: [83, 84, 28, 92, 10], 2: [52, 61, 67, 27, 18], 3: [76, 78, 22, 6], 4: [86, 91, 89, 70], 5: [20, 5, 59], 6: [25, 85, 24], 7: [81, 87, 46, 12, 90, 57], 8: [80], 9: [9], 10: [30]}"
11,"{0: [83, 80, 84, 27, 59], 1: [85, 2, 61], 2: [5, 24], 3: [52, 6], 4: [20, 87, 46, 28], 5: [30, 55, 57, 92], 6: [67, 89], 7: [25], 8: [78, 12, 90, 70], 9: [81, 22, 18], 10: [76, 86, 91, 9, 10]}"
14,"{0: [80, 5], 1: [83, 52, 25, 12, 61, 59], 2: [46, 90, 57], 3: [81, 92], 4: [85, 67, 9, 24, 18], 5: [20], 6: [2, 55, 87, 91, 89], 7: [76, 6, 28], 8: [27], 9: [78, 30], 10: [84, 10], 11: [86], 12: [70], 13: [22]}"
12,"{0: [85, 12, 24, 70], 1: [55, 87], 2: [52, 5, 30], 3: [25, 67], 4: [61, 22, 89, 92], 5: [46, 90, 28, 18], 6: [80, 20, 91], 7: [81, 76, 84, 9, 59], 8: [78, 6, 27], 9: [86, 2], 10: [83, 10], 11: [57]}"
11,"{0: [85, 61, 89], 1: [80, 86, 5, 46, 90, 6, 28, 70], 2: [67, 9, 24], 3: [52, 27], 4: [20, 78], 5: [83, 81, 84, 2, 91], 6: [30], 7: [59, 10], 8: [25], 9: [76, 55, 87, 12, 18], 10: [22, 57, 92]}"
17,"{0: [86, 22, 92], 1: [67], 2: [6, 28, 10], 3: [83, 70], 4: [89], 5: [76, 90], 6: [80, 46, 27], 7: [9], 8: [52, 87, 59], 9: [85, 91], 10: [20, 5], 11: [55, 61, 18], 12: [78, 57], 13: [81], 14: [25, 12, 24], 15: [30, 2], 16: [84]}"
11,"{0: [5, 61, 89], 1: [76, 46, 57, 24, 10], 2: [20, 67, 27, 59, 70], 3: [2, 91, 28], 4: [83, 81, 12, 18], 5: [87, 6, 92], 6: [80, 25, 85, 86, 30, 22], 7: [52], 8: [84, 90], 9: [78, 55], 10: [9]}"
15,"{0: [84], 1: [81, 76, 86, 2, 55, 18], 2: [80, 85, 89], 3: [5, 59], 4: [25, 22, 24, 10], 5: [20, 90, 9], 6: [91], 7: [78, 46], 8: [52, 57], 9: [83, 30, 87, 6], 10: [28, 27, 92], 11: [70], 12: [61], 13: [12], 14: [67]}"
10,"{0: [46, 67, 70], 1: [78, 87, 9], 2: [83, 84, 57, 18], 3: [89], 4: [80, 76, 12, 28, 92], 5: [81, 20, 10], 6: [52, 25, 86, 30, 61, 91], 7: [2, 55, 90], 8: [85, 5, 22], 9: [6, 24, 27, 59]}"
13,"{0: [85, 2, 27], 1: [81, 87], 2: [5, 61, 89, 57], 3: [12, 24, 92], 4: [80], 5: [52, 25, 46, 91, 9], 6: [83, 76, 55, 22, 59], 7: [20, 84, 6, 28], 8: [90], 9: [10], 10: [86, 78, 67, 70], 11: [30], 12: [18]}"
14,"{0: [80, 87, 61, 24], 1: [46, 9], 2: [76, 85, 2, 90, 70], 3: [81, 25, 5, 12, 57], 4: [27, 18], 5: [52, 20, 67, 28, 59], 6: [91, 89], 7: [83], 8: [22, 10], 9: [84], 10: [86, 92], 11: [78], 12: [30, 6], 13: [55]}"
11,"{0: [84, 30, 55, 67], 1: [83, 86, 61, 9, 10], 2: [52, 80, 76, 89, 57], 3: [25, 6, 28, 70, 92], 4: [5, 24], 5: [85, 2, 87, 46], 6: [20, 59], 7: [91], 8: [81, 22, 27], 9: [78, 12, 18], 10: [90]}"
13,"{0: [81, 85, 6, 24], 1: [80, 84, 5, 89, 28, 10], 2: [20, 55, 90], 3: [22, 27], 4: [83, 92], 5: [52, 86, 78, 12], 6: [67, 70], 7: [25, 30, 57, 59], 8: [87, 46, 18], 9: [61, 91], 10: [9], 11: [2], 12: [76]}"
10,"{0: [81, 85, 30, 90, 89, 24], 1: [25, 20, 5, 12, 28, 10], 2: [76, 22], 3: [52, 87, 91, 6], 4: [83, 86, 84, 78, 92], 5: [61, 9], 6: [67, 70], 7: [2, 59], 8: [46, 27, 18], 9: [80, 55, 57]}"
12,"{0: [30, 9, 10], 1: [2, 12, 59], 2: [80, 84], 3: [90, 57, 24, 70, 18], 4: [55, 22], 5: [67, 28], 6: [85, 86, 46, 6], 7: [78, 5, 87, 92], 8: [83], 9: [20, 91, 89], 10: [52, 76, 25, 27], 11: [81, 61]}"
13,"{0: [81, 5, 12, 89, 59], 1: [25], 2: [83, 18], 3: [30, 9, 27, 92], 4: [86, 87], 5: [52, 78], 6: [85, 84, 61, 28], 7: [20, 22], 8: [55, 46, 91, 24, 70], 9: [80, 76, 2, 57, 10], 10: [6], 11: [67], 12: [90]}"
13,"{0: [87, 67], 1: [70], 2: [25, 84, 61, 24, 27], 3: [80, 20, 92], 4: [89, 57, 18], 5: [28], 6: [12, 90, 10], 7: [86, 30, 59], 8: [83, 55, 46], 9: [81, 85, 78], 10: [22, 9], 11: [52, 76, 5, 91, 6], 12: [2]}"
14,"{0: [5, 2, 61, 90], 1: [27, 92], 2: [81, 84, 67], 3: [25, 20, 86, 78], 4: [76], 5: [80, 12, 89, 10], 6: [52, 55, 91, 6], 7: [30, 87, 57], 8: [70, 18], 9: [83], 10: [9, 24], 11: [22], 12: [85, 28, 59], 13: [46]}"
10,"{0: [30, 55, 6, 28, 24, 70, 92], 1: [81, 76, 12, 18, 10], 2: [87, 9], 3: [20, 86, 61, 89], 4: [83, 67, 90], 5: [52, 84, 59], 6: [80, 27], 7: [46, 91, 22, 57], 8: [85], 9: [25, 78, 5, 2]}"
12,"{0: [83, 52, 76, 28, 27, 70], 1: [20, 86, 55], 2: [5, 87, 89], 3: [2, 61, 57, 59, 18], 4: [90], 5: [80, 67], 6: [30], 7: [25, 85, 6, 24], 8: [81, 84, 78, 91, 22], 9: [9, 10], 10: [12, 92], 11: [46]}"
17,"{0: [76, 78, 46, 22, 92], 1: [20, 30], 2: [83, 12], 3: [85, 6], 4: [25, 24], 5: [87, 61], 6: [80, 91], 7: [90, 89, 18], 8: [2, 55, 10], 9: [67], 10: [28, 70], 11: [84], 12: [5, 57, 9], 13: [86], 14: [52], 15: [59], 16: [81, 27]}"
14,"{0: [52, 80, 86], 1: [70], 2: [20, 78, 5, 55, 57, 27, 92], 3: [25, 91, 10], 4: [9, 24], 5: [83, 46], 6: [87, 12, 28], 7: [85, 2, 90], 8: [81, 18], 9: [61, 89], 10: [30, 22], 11: [67, 6], 12: [84, 59], 13: [76]}"
13,"{0: [30, 67, 57], 1: [83, 52, 5, 90, 24], 2: [80, 20, 55, 28], 3: [22], 4: [12, 92, 18], 5: [76, 78, 70], 6: [46, 9], 7: [81, 61, 59], 8: [2, 87, 89], 9: [27], 10: [25, 85, 86, 6], 11: [10], 12: [84, 91]}"
12,"{0: [12, 90, 22, 18], 1: [83, 84, 67, 9, 10], 2: [52, 76, 5, 59], 3: [81, 55, 61, 6], 4: [25, 78, 2], 5: [20, 57, 92], 6: [91, 24, 27], 7: [86, 87, 89], 8: [80], 9: [28, 70], 10: [85, 30], 11: [46]}"
14,"{0: [80, 76, 25, 70], 1: [55, 10], 2: [84, 90], 3: [89, 27, 18], 4: [2, 6, 9, 92], 5: [81, 85, 86], 6: [67], 7: [78, 91, 24], 8: [87], 9: [52, 12, 22], 10: [5, 30, 46, 61], 11: [20, 57, 28], 12: [83], 13: [59]}"
10,"{0: [80, 55, 89, 10], 1: [25, 78, 46, 67, 18], 2: [85, 90, 28, 9, 59], 3: [20, 12], 4: [52, 87, 91], 5: [83, 2, 22, 6], 6: [81, 5, 61, 27], 7: [86, 30, 70], 8: [76, 84, 24, 92], 9: [57]}"
16,"{0: [20, 67, 27], 1: [5], 2: [52, 12, 89], 3: [25, 85, 61], 4: [30, 6], 5: [80, 86, 84, 87, 46], 6: [92], 7: [83, 59], 8: [2], 9: [76, 91, 10], 10: [57, 24], 11: [81, 22, 70], 12: [55], 13: [78], 14: [90, 9, 18], 15: [28]}"
14,"{0: [9], 1: [85, 84, 30, 91], 2: [61, 27, 18], 3: [78, 10], 4: [81, 80, 57, 6, 92], 5: [20, 46, 90, 24], 6: [25, 55, 28], 7: [5], 8: [83, 76, 87, 22], 9: [2], 10: [89], 11: [52, 86], 12: [67], 13: [12, 59, 70]}"
15,"{0: [25, 92, 18], 1: [52, 81, 10], 2: [5, 2], 3: [85, 30], 4: [55, 46], 5: [90, 89], 6: [84, 91, 24, 27, 59], 7: [76, 78, 12], 8: [57, 70], 9: [61, 67, 28], 10: [86, 87, 6], 11: [83], 12: [80, 9], 13: [20], 14: [22]}"
14,"{0: [52, 22, 89, 92], 1: [81, 90, 57], 2: [76, 61, 6, 18], 3: [20, 12, 9], 4: [86, 24, 27], 5: [55], 6: [10], 7: [80, 87, 46], 8: [67], 9: [83, 78, 70], 10: [25, 2, 28, 59], 11: [84, 91], 12: [85, 5], 13: [30]}"
11,"{0: [25, 91, 9], 1: [85, 2, 27, 70, 18], 2: [52, 81, 20, 30, 90, 89, 57, 92], 3: [80, 22], 4: [83, 67, 6], 5: [28, 10], 6: [78, 61], 7: [76, 84, 5, 55, 59], 8: [12, 24], 9: [86, 87], 10: [46]}"
11,"{0: [83, 5, 46, 61, 90, 70], 1: [52, 87, 18], 2: [86, 67, 91, 89, 9], 3: [25, 85, 30, 2, 22, 57, 28, 27], 4: [12], 5: [84, 78], 6: [80, 55], 7: [76, 92, 10], 8: [6, 24, 59], 9: [20], 10: [81]}"
13,"{0: [83, 52, 81], 1: [6, 10], 2: [25, 87], 3: [78, 55, 12, 28, 9, 92], 4: [76, 91], 5: [46, 67], 6: [20, 84, 57, 70, 18], 7: [90, 89, 27], 8: [80, 85, 22], 9: [2, 61, 24], 10: [86, 30], 11: [5], 12: [59]}"
11,"{0: [81, 5, 30, 55, 57, 9, 70], 1: [67, 89, 92, 18], 2: [20, 24], 3: [80, 86, 90, 91, 59], 4: [83, 52], 5: [2, 27], 6: [25, 61, 6], 7: [85, 84, 12], 8: [76, 87, 46, 22], 9: [28], 10: [78, 10]}"
13,"{0: [52, 80, 89], 1: [46, 22, 57, 59], 2: [20, 67, 6, 9], 3: [90, 91, 10], 4: [85, 28], 5: [30, 55, 70, 18], 6: [84], 7: [76, 78, 87, 92], 8: [81, 25, 61], 9: [27], 10: [83, 86, 2], 11: [5, 24], 12: [12]}"
15,"{0: [20, 61], 1: [83, 80, 9], 2: [46, 6], 3: [91, 28, 27], 4: [78, 57, 24, 70, 18], 5: [5, 2, 12], 6: [52, 59, 92], 7: [81, 85, 87, 67], 8: [86, 22, 89], 9: [76, 84], 10: [55], 11: [30], 12: [90], 13: [10], 14: [25]}"
11,"{0: [52, 87, 6], 1: [20, 86, 78, 2, 22, 18], 2: [83, 55], 3: [90, 91, 89, 27], 4: [25, 84, 5, 67, 57, 10], 5: [76, 85], 6: [30, 24, 70, 92], 7: [81, 59], 8: [80, 46, 61], 9: [9], 10: [12, 28]}"
