Task_Groups,Number_of_Task_Groups
"{0: [85, 5, 2, 90, 22], 1: [52, 20, 87, 46, 91, 6, 28, 27, 70], 2: [84, 12], 3: [83, 67, 24, 10], 4: [80, 76, 89, 18], 5: [9, 59], 6: [92], 7: [86, 55], 8: [25, 78, 61], 9: [57], 10: [30], 11: [81]}",12
"{0: [76, 86, 84, 78, 5, 30, 12, 9, 24, 27], 1: [70], 2: [81, 80, 25, 87, 67, 91, 57, 6, 59], 3: [22, 89], 4: [52, 85, 2, 10], 5: [90, 28], 6: [55, 18], 7: [83, 20, 46, 61, 92]}",8
"{0: [76, 25, 67, 10], 1: [83, 87, 46, 9, 92], 2: [57], 3: [12, 27], 4: [28], 5: [90, 91], 6: [81, 85, 6, 59], 7: [55, 89], 8: [78, 18], 9: [86, 5, 30, 24], 10: [52, 84], 11: [80, 20], 12: [2, 61, 22, 70]}",13
"{0: [55, 59, 10], 1: [83, 25, 67, 57], 2: [30, 12], 3: [85, 91, 6, 9, 70], 4: [84, 46], 5: [20, 90, 92], 6: [81, 76, 2, 87, 28], 7: [5, 89], 8: [78, 61, 24], 9: [52, 27], 10: [86, 18], 11: [80, 22]}",12
"{0: [89, 18], 1: [52, 76, 30, 12, 22, 9, 24, 59], 2: [86, 55, 90], 3: [61, 67], 4: [84, 57, 92], 5: [80, 2, 28], 6: [25, 87, 46, 6, 27], 7: [81, 85, 20, 91, 70], 8: [83, 78, 5], 9: [10]}",10
"{0: [85, 78, 61, 59, 18], 1: [83, 25, 9], 2: [52, 67], 3: [20, 5, 90, 91], 4: [30, 28, 70], 5: [76, 22, 24], 6: [57], 7: [86], 8: [80, 84, 6, 10], 9: [81, 2, 55, 46, 12], 10: [87], 11: [89], 12: [27, 92]}",13
"{0: [83, 81, 86, 12, 24, 10], 1: [20, 30, 61], 2: [84, 78, 87], 3: [6], 4: [46, 90], 5: [25, 91], 6: [85], 7: [5, 9], 8: [2, 22, 27, 70, 92], 9: [52, 55, 28, 59, 18], 10: [57], 11: [80, 89], 12: [67], 13: [76]}",14
"{0: [22, 57], 1: [67, 70], 2: [83, 30, 2, 10], 3: [52, 25, 20, 5, 90, 27], 4: [81, 76, 61, 28, 9], 5: [85, 78, 6, 92], 6: [86, 55, 87, 24, 18], 7: [91], 8: [80, 12, 89, 59], 9: [84], 10: [46]}",11
"{0: [52, 22, 59, 10], 1: [84, 5, 30, 57, 9, 27], 2: [80, 86, 2, 87, 24], 3: [25, 85, 91, 28], 4: [83, 81, 6], 5: [90, 92, 18], 6: [61, 89], 7: [78, 12, 67], 8: [20], 9: [55], 10: [76], 11: [46], 12: [70]}",13
"{0: [30, 46, 9, 10], 1: [86, 61], 2: [25, 85, 90], 3: [5, 55, 27, 59], 4: [76, 20, 57], 5: [2, 87], 6: [22], 7: [12, 28], 8: [83, 91, 92], 9: [78, 70], 10: [81, 89], 11: [52, 84, 6, 24], 12: [80, 67, 18]}",13
"{0: [90], 1: [81, 76, 61], 2: [25, 12], 3: [85, 84, 87, 28, 27, 18], 4: [80, 22, 89, 9], 5: [52, 30, 2, 46], 6: [78, 91, 6, 92], 7: [67, 10], 8: [20, 86, 55, 57], 9: [83, 24, 70], 10: [5, 59]}",11
"{0: [76, 59], 1: [25, 2, 55, 46, 91], 2: [20, 5, 30, 61], 3: [83, 85, 86, 57, 6, 18, 10], 4: [52, 12], 5: [89, 28, 27], 6: [81, 80, 67, 22, 92], 7: [87, 90, 9], 8: [84, 70], 9: [78, 24]}",10
"{0: [20, 86, 67], 1: [76, 12, 91, 59], 2: [2, 70, 10], 3: [78, 89], 4: [25, 90], 5: [85, 22, 6, 18], 6: [83, 55, 46, 24, 92], 7: [80, 57], 8: [81, 5, 87, 27], 9: [30, 28, 9], 10: [52], 11: [84, 61]}",12
"{0: [83, 52, 90, 70], 1: [85, 86, 28], 2: [61, 89, 24], 3: [91, 22, 92], 4: [80, 27, 59, 18], 5: [20, 84, 30, 12], 6: [67, 9], 7: [81, 76, 46, 57, 10], 8: [78, 55], 9: [6], 10: [2], 11: [25, 87], 12: [5]}",13
"{0: [80, 2], 1: [87, 22], 2: [5, 67, 59], 3: [83, 78, 91], 4: [92, 18], 5: [46, 61], 6: [52], 7: [76, 85, 20, 55, 90, 89, 27], 8: [12, 28, 24], 9: [86, 84, 57, 6, 9], 10: [30, 70], 11: [81, 25], 12: [10]}",13
"{0: [25, 85, 84, 55, 46], 1: [20, 24], 2: [76, 9, 27, 92], 3: [81, 57], 4: [5, 12], 5: [52, 78], 6: [80, 30, 2, 90, 91, 89, 10], 7: [67, 6], 8: [83, 28, 59], 9: [18], 10: [87, 22, 70], 11: [61], 12: [86]}",13
"{0: [20, 86, 24], 1: [52, 76, 85, 84, 78, 28], 2: [30, 87, 91, 22], 3: [25], 4: [83], 5: [67, 9], 6: [57, 27, 70, 10], 7: [81, 90], 8: [5, 18], 9: [46, 89], 10: [55], 11: [80, 61, 59, 92], 12: [2, 12, 6]}",13
"{0: [83, 55, 61], 1: [85, 30], 2: [86, 87, 10], 3: [76, 78], 4: [25, 90, 28, 18], 5: [52, 5], 6: [80, 70, 92], 7: [20, 84, 67, 27], 8: [46, 91, 89, 57, 9, 24], 9: [59], 10: [81, 22], 11: [2, 12, 6]}",12
"{0: [25, 91, 9], 1: [85, 2, 27, 70, 18], 2: [52, 81, 20, 30, 90, 89, 57, 92], 3: [80, 22], 4: [83, 67, 6], 5: [28, 10], 6: [78, 61], 7: [76, 84, 5, 55, 59], 8: [12, 24], 9: [86, 87], 10: [46]}",11
"{0: [80, 20, 22, 57, 28], 1: [76, 85], 2: [6, 92], 3: [67, 90, 27, 70, 10], 4: [25, 84], 5: [52, 86], 6: [12, 61, 91], 7: [83, 30, 46, 24], 8: [87, 89], 9: [81], 10: [78, 59, 18], 11: [2], 12: [5], 13: [9], 14: [55]}",15
"{0: [76, 78, 2, 91, 6], 1: [80, 92, 10], 2: [87, 46, 12, 61, 28], 3: [52, 25, 84, 90, 59], 4: [81, 85, 27], 5: [55, 9], 6: [22, 89], 7: [83, 30, 67, 70], 8: [86, 57, 24], 9: [20, 5, 18]}",10
"{0: [46, 9], 1: [91, 57, 28, 10], 2: [83, 52, 76, 30, 90, 59], 3: [81, 25, 84, 27, 92], 4: [5, 6], 5: [2, 55, 12, 61, 24, 18], 6: [20, 67, 89], 7: [80, 87], 8: [85, 22, 70], 9: [86, 78]}",10
"{0: [5, 2, 61, 90], 1: [27, 92], 2: [81, 84, 67], 3: [25, 20, 86, 78], 4: [76], 5: [80, 12, 89, 10], 6: [52, 55, 91, 6], 7: [30, 87, 57], 8: [70, 18], 9: [83], 10: [9, 24], 11: [22], 12: [85, 28, 59], 13: [46]}",14
"{0: [52, 81, 80, 30, 57, 28, 70], 1: [76, 85, 84, 2, 10], 2: [61], 3: [25, 46, 91, 22, 6, 9, 59], 4: [12], 5: [83, 89, 24, 18], 6: [20, 86, 78, 67], 7: [55, 87, 90], 8: [5, 92], 9: [27]}",10
"{0: [20], 1: [25, 86, 78, 22, 57], 2: [81, 89, 59, 70], 3: [80, 85], 4: [84, 55, 28], 5: [87, 18], 6: [52, 12, 24], 7: [83, 30, 2, 46, 6, 9], 8: [5], 9: [76, 61, 90, 10], 10: [67, 91], 11: [27, 92]}",12
"{0: [86, 90, 24], 1: [46], 2: [83], 3: [76, 20, 78, 55, 6, 70], 4: [12, 67, 89, 9], 5: [80, 25, 85, 22, 57, 28], 6: [84], 7: [2, 91, 59], 8: [81], 9: [30, 87, 61], 10: [92], 11: [52, 27, 18, 10], 12: [5]}",13
"{0: [78, 2, 9], 1: [86, 70, 18], 2: [83, 90], 3: [52, 80, 61, 22, 6, 92], 4: [30, 91, 10], 5: [25, 84, 55, 67, 28], 6: [81, 5], 7: [85, 24], 8: [87, 12, 57, 27], 9: [76, 46, 59], 10: [89], 11: [20]}",12
"{0: [91, 89], 1: [81, 46, 59], 2: [86, 30, 55, 90, 9, 27], 3: [2, 28], 4: [83, 76], 5: [6, 92], 6: [5, 57], 7: [85, 67, 18], 8: [25, 12], 9: [80], 10: [22, 24], 11: [20, 87, 70], 12: [52, 84, 61], 13: [10], 14: [78]}",15
"{0: [81, 5, 12, 89, 59], 1: [25], 2: [83, 18], 3: [30, 9, 27, 92], 4: [86, 87], 5: [52, 78], 6: [85, 84, 61, 28], 7: [20, 22], 8: [55, 46, 91, 24, 70], 9: [80, 76, 2, 57, 10], 10: [6], 11: [67], 12: [90]}",13
"{0: [86, 87, 22], 1: [2, 12, 89, 10], 2: [52, 78, 46, 67, 6], 3: [84, 61], 4: [80, 76, 85, 92], 5: [81, 30, 55], 6: [5, 28], 7: [57, 9], 8: [91, 24], 9: [20, 27, 59, 70, 18], 10: [83, 25, 90]}",11
"{0: [6, 27], 1: [20, 86, 67, 90, 89, 92], 2: [78], 3: [25, 55, 28], 4: [80, 76, 9], 5: [52, 87, 46], 6: [83, 91, 24, 18], 7: [22, 57, 70], 8: [85, 2, 61, 10], 9: [81, 5], 10: [84, 30], 11: [12], 12: [59]}",13
"{0: [81, 55, 27], 1: [6], 2: [52, 80, 5, 28, 70], 3: [85, 87, 61, 10], 4: [78, 22, 9], 5: [76, 67, 92], 6: [12, 89], 7: [25, 20, 2], 8: [84, 91, 59], 9: [57, 18], 10: [90], 11: [86], 12: [24], 13: [46], 14: [83, 30]}",15
"{0: [83, 84, 5, 2, 92], 1: [30, 9, 70], 2: [52, 20, 18], 3: [85, 86, 87, 12, 61, 27], 4: [80], 5: [76, 78, 91, 24], 6: [55, 10], 7: [25, 90], 8: [81], 9: [89, 57, 28], 10: [46], 11: [67, 6], 12: [22, 59]}",13
"{0: [85, 90, 22], 1: [20, 30, 2, 46, 12, 89, 24, 59, 70], 2: [5, 67, 57], 3: [52, 80, 86, 78], 4: [10], 5: [25, 87, 92], 6: [55, 28], 7: [83, 27], 8: [6], 9: [81, 76, 91, 18], 10: [84, 9], 11: [61]}",12
"{0: [87, 27, 10], 1: [67, 9, 70], 2: [83, 81, 86, 28, 59], 3: [85, 61, 90, 57], 4: [20, 12, 6, 18], 5: [25, 55, 22, 92], 6: [80, 84], 7: [78, 46, 24], 8: [76, 91], 9: [5, 30], 10: [2, 89], 11: [52]}",12
"{0: [86, 89, 57], 1: [83, 20, 9, 10], 2: [52, 80, 22, 59, 18], 3: [78, 2, 46, 92], 4: [76, 87], 5: [5, 55, 61, 27], 6: [25, 91, 70], 7: [84, 67, 6, 24], 8: [85, 30, 90], 9: [12], 10: [28], 11: [81]}",12
"{0: [85, 84, 57, 18], 1: [90], 2: [80, 76, 78, 55, 70], 3: [20, 86, 87, 46, 27, 92], 4: [25, 61], 5: [89, 59], 6: [81, 2, 9, 10], 7: [12], 8: [30, 67, 22], 9: [5, 6], 10: [52, 28], 11: [83, 24], 12: [91]}",13
"{0: [25, 30, 61, 67], 1: [76], 2: [10], 3: [87, 57], 4: [46, 6, 27, 18], 5: [83, 20, 84, 92], 6: [52, 5, 22, 28], 7: [81, 90], 8: [80, 24, 59], 9: [86, 2, 70], 10: [85, 78, 9], 11: [55, 89], 12: [12, 91]}",13
"{0: [20, 90, 57, 6, 28, 59], 1: [2, 22, 9], 2: [78], 3: [81, 89, 24, 27, 92, 10], 4: [30, 46, 18], 5: [76, 87, 61], 6: [52, 25, 5, 91], 7: [83, 70], 8: [84, 55, 67], 9: [80, 85, 86, 12]}",10
"{0: [46, 90, 89], 1: [2, 61, 67], 2: [9, 24], 3: [83, 81, 86, 84, 12, 27], 4: [85, 87, 6], 5: [55], 6: [52, 20, 22, 28, 18], 7: [91], 8: [25, 78, 5, 10], 9: [80, 76], 10: [70], 11: [59, 92], 12: [57], 13: [30]}",14
